Jun 01
639.79.514.76:4969 -> 1
170.81.645.39:6918 -> 1
720.1.496.80:5300 -> 1
860.82.904.58:4370 -> 1
644.30.651.33:5000 -> 1
313.81.438.44:4058 -> 1
210.56.827.42:4504 -> 1
178.8.660.88:4195 -> 1
225.98.430.82:5882 -> 1
769.96.608.10:5557 -> 1
17.72.307.56:5948 -> 1
305.52.242.96:6692 -> 1
135.93.855.71:4940 -> 1
992.75.70.1:5034 -> 1
108.57.27.85:5491 -> 1
466.97.729.23:4219 -> 1
384.68.275.67:6488 -> 1
864.89.82.64:6975 -> 1
267.46.387.9:5924 -> 1
839.75.645.62:5585 -> 1
95.65.539.20:4970 -> 1
499.58.173.42:4811 -> 1
777.51.438.65:4635 -> 1
249.93.977.70:5725 -> 1
718.52.559.96:5345 -> 1
514.13.626.22:5781 -> 1
87.50.866.1:5498 -> 1
702.42.44.29:6115 -> 1
789.94.113.55:4942 -> 1
65.31.163.39:6486 -> 1
645.1.759.37:4479 -> 1
874.87.572.75:6563 -> 1
462.11.967.65:5522 -> 1
996.68.67.51:4678 -> 1
125.79.990.32:5026 -> 1
366.39.421.91:5600 -> 1
596.60.640.38:4721 -> 1
529.18.117.72:5403 -> 1
394.15.560.81:4014 -> 1
993.25.786.72:5488 -> 1
8.35.533.18:4320 -> 1
887.29.286.91:4850 -> 1
510.69.246.15:5287 -> 1
929.28.634.63:4914 -> 1
191.58.850.57:6575 -> 1
193.33.317.95:4262 -> 1
748.21.162.15:4744 -> 1
Jun 03
767.77.842.16:6784 -> 1
814.51.958.66:4073 -> 1
361.50.924.66:6092 -> 1
600.28.46.6:4349 -> 1
510.29.215.54:4503 -> 1
662.58.235.65:4745 -> 1
192.70.347.42:4908 -> 1
296.41.416.1:4876 -> 1
978.81.801.78:5030 -> 1
93.2.844.90:6364 -> 1
545.68.302.91:4500 -> 1
904.55.168.47:4184 -> 1
949.48.398.89:5156 -> 1
783.44.252.58:5386 -> 1
339.35.831.71:6829 -> 1
119.40.749.97:4415 -> 1
686.66.542.80:4694 -> 1
257.75.401.20:6609 -> 1
14.24.202.59:6362 -> 1
880.49.284.75:6983 -> 1
201.5.582.74:4320 -> 1
371.94.685.1:6019 -> 1
811.61.74.88:5534 -> 1
388.50.171.68:5708 -> 1
177.48.776.50:6447 -> 1
618.78.636.64:6561 -> 1
506.67.83.65:4091 -> 1
163.74.577.79:4221 -> 1
203.89.608.38:6336 -> 1
79.78.538.47:5434 -> 1
465.46.361.72:5578 -> 1
668.4.736.72:5091 -> 1
442.3.901.4:6031 -> 1
720.88.5.95:6307 -> 1
178.21.774.43:4709 -> 1
279.48.707.31:5838 -> 1
11.76.514.20:6181 -> 1
472.71.823.1:4326 -> 1
543.17.69.82:6499 -> 1
83.63.818.87:5145 -> 1
689.21.632.13:5810 -> 1
960.80.443.23:6043 -> 1
169.1.199.93:4063 -> 1
269.81.871.5:5282 -> 1
502.53.658.32:6001 -> 1
224.5.387.52:6840 -> 1
592.75.244.8:6019 -> 1
961.20.705.85:6366 -> 1
880.67.544.51:4793 -> 1
513.90.112.81:4223 -> 1
430.72.19.53:4095 -> 1
218.98.971.8:6187 -> 1
850.64.228.31:5969 -> 1
671.72.124.83:6139 -> 1
838.14.187.36:6862 -> 1
797.76.426.33:6864 -> 1
543.89.843.57:5249 -> 1
707.42.137.92:6539 -> 1
900.59.470.88:4686 -> 1
361.46.993.78:4887 -> 1
277.22.369.98:4423 -> 1
374.73.966.48:5092 -> 1
258.68.346.53:4314 -> 1
285.9.247.16:4016 -> 1
471.3.543.61:6608 -> 1
231.53.66.70:6531 -> 1
844.95.404.49:4451 -> 1
812.2.320.25:5494 -> 1
689.51.459.27:4828 -> 1
872.92.631.26:4766 -> 1
891.63.123.18:4771 -> 1
253.82.361.49:5348 -> 1
417.80.823.10:6736 -> 1
719.45.452.29:6525 -> 1
452.11.290.3:4052 -> 1
223.37.185.92:6603 -> 1
513.20.677.75:6272 -> 1
285.18.845.78:5701 -> 1
929.12.990.68:5861 -> 1
862.39.478.77:4275 -> 1
357.31.381.66:4465 -> 1
868.95.629.79:5424 -> 1
666.93.405.49:5674 -> 1
959.76.209.29:5196 -> 1
707.81.699.97:5808 -> 1
338.33.155.33:6191 -> 1
787.88.943.33:5755 -> 1
5.50.131.10:4295 -> 1
67.94.771.37:5391 -> 1
86.10.532.11:6544 -> 1
8.84.444.53:6611 -> 1
634.26.490.32:6670 -> 1
875.59.984.94:6133 -> 1
759.40.840.64:6046 -> 1
536.23.207.44:6319 -> 1
837.9.159.72:4208 -> 1
814.89.453.91:4431 -> 1
41.60.633.6:6779 -> 1
236.69.629.74:5515 -> 1
394.67.137.28:4264 -> 1
701.62.722.96:4515 -> 1
724.22.358.24:5398 -> 1
523.87.89.69:4314 -> 1
461.89.255.74:4053 -> 1
95.41.861.73:5068 -> 1
407.49.495.27:4484 -> 1
73.11.155.70:4385 -> 1
445.58.981.44:5216 -> 1
646.70.734.91:6970 -> 1
229.56.67.45:4562 -> 1
985.72.894.1:4887 -> 1
966.67.258.9:5956 -> 1
216.37.148.36:4481 -> 1
Jun 04
747.42.458.43:6706 -> 1
757.94.909.81:5787 -> 1
315.22.389.13:5325 -> 1
665.8.722.17:6231 -> 1
144.22.468.3:4245 -> 1
5.11.833.72:6509 -> 1
196.39.432.62:4871 -> 1
936.5.722.58:4537 -> 1
699.12.106.68:5389 -> 1
435.16.913.26:4011 -> 1
310.91.509.1:6009 -> 1
837.97.369.26:5464 -> 1
472.16.82.67:4947 -> 1
547.9.53.52:4922 -> 1
257.45.180.51:4204 -> 1
547.21.264.52:4402 -> 1
464.60.863.81:6243 -> 1
297.97.941.44:5328 -> 1
637.73.115.79:5527 -> 1
202.85.754.56:5377 -> 1
213.39.278.78:6986 -> 1
841.32.397.24:5440 -> 1
572.64.51.38:4985 -> 1
793.84.603.62:5594 -> 1
29.4.14.33:5095 -> 1
786.67.243.97:6431 -> 1
968.81.771.56:6830 -> 1
894.73.794.98:4559 -> 1
191.80.554.98:4266 -> 1
478.25.977.60:5573 -> 1
871.98.972.36:4531 -> 1
870.79.320.8:5911 -> 1
546.38.913.71:5179 -> 1
615.14.894.15:4005 -> 1
251.67.500.47:6920 -> 1
950.46.348.67:6140 -> 1
309.69.877.91:5705 -> 1
783.6.527.14:6679 -> 1
604.37.294.28:6005 -> 1
215.49.429.45:5269 -> 1
716.77.576.83:6398 -> 1
162.50.279.46:4774 -> 1
803.28.92.97:6652 -> 1
671.13.860.1:6787 -> 1
759.34.226.17:4655 -> 1
311.11.945.63:6297 -> 1
511.11.285.14:6228 -> 1
249.93.362.48:4018 -> 1
560.23.216.82:6622 -> 1
953.97.185.63:6702 -> 1
907.75.152.16:4901 -> 1
233.91.713.86:4333 -> 1
265.56.5.13:4067 -> 1
503.59.674.57:6856 -> 1
121.40.407.14:5161 -> 1
25.48.81.45:5692 -> 1
406.36.51.40:5155 -> 1
513.62.971.35:5264 -> 1
47.63.574.24:4785 -> 1
315.75.350.10:5596 -> 1
435.97.53.46:5641 -> 1
473.3.850.29:6569 -> 1
952.38.427.61:5311 -> 1
247.30.519.55:6979 -> 1
223.88.613.82:6992 -> 1
183.11.502.24:5134 -> 1
125.74.346.75:5240 -> 1
112.91.102.30:5650 -> 1
195.26.57.19:5058 -> 1
184.40.818.30:6753 -> 1
42.23.515.66:4494 -> 1
85.25.304.24:6679 -> 1
101.45.760.91:6905 -> 1
619.1.140.62:6092 -> 1
471.96.396.72:4759 -> 1
785.58.15.44:5225 -> 1
817.27.571.66:4876 -> 1
565.43.106.52:4784 -> 1
778.26.346.78:4216 -> 1
357.64.670.89:4998 -> 1
656.28.38.92:6599 -> 1
947.12.992.80:6393 -> 1
78.64.332.98:5201 -> 1
15.9.165.89:6297 -> 1
483.78.295.31:6674 -> 1
103.77.685.4:6281 -> 1
578.85.320.63:4584 -> 1
29.42.215.36:5644 -> 1
370.77.719.88:6978 -> 1
477.58.924.91:4784 -> 1
27.88.545.71:6343 -> 1
158.24.930.74:5043 -> 1
366.82.183.54:5775 -> 1
172.75.344.52:6685 -> 1
58.11.476.62:6393 -> 1
80.97.745.46:6888 -> 1
803.4.711.97:6743 -> 1
811.69.460.20:5492 -> 1
294.98.606.61:6403 -> 1
173.28.55.84:5295 -> 1
20.69.899.21:5017 -> 1
337.60.418.37:5868 -> 1
617.78.251.87:4589 -> 1
971.30.672.62:5791 -> 1
151.27.596.34:5260 -> 1
755.74.394.54:5511 -> 1
47.22.362.10:5390 -> 1
593.26.170.54:4243 -> 1
669.7.154.4:4725 -> 1
Jun 05
260.59.440.62:6855 -> 1
784.81.170.3:6147 -> 1
953.70.444.12:6283 -> 1
838.79.18.51:6464 -> 1
838.27.98.53:5719 -> 1
194.5.394.71:5233 -> 1
546.1.706.36:6435 -> 1
501.80.567.87:6943 -> 1
524.15.188.26:4685 -> 1
226.14.54.70:5876 -> 1
941.66.720.91:5790 -> 1
746.82.91.46:6632 -> 1
693.15.98.57:5077 -> 1
932.33.266.3:4663 -> 1
683.38.355.74:6320 -> 1
665.84.566.67:4858 -> 1
96.55.471.16:6730 -> 1
973.12.121.25:5026 -> 1
209.16.991.58:4800 -> 1
625.74.268.33:6882 -> 1
569.63.728.78:4949 -> 1
554.37.796.51:5323 -> 1
148.37.136.27:5625 -> 1
326.80.239.24:4662 -> 1
201.22.622.25:6787 -> 1
1.6.378.65:6772 -> 1
396.67.775.36:4186 -> 1
414.57.318.39:6422 -> 1
286.77.278.71:5402 -> 1
764.45.452.76:5213 -> 1
672.42.623.65:5978 -> 1
251.49.454.52:5181 -> 1
490.94.20.65:6759 -> 1
477.53.131.72:5658 -> 1
726.69.414.73:4835 -> 1
627.70.895.76:4063 -> 1
677.98.946.8:4407 -> 1
26.2.63.12:6751 -> 1
877.77.909.83:6938 -> 1
320.77.283.95:6951 -> 1
267.69.343.77:4647 -> 1
887.59.923.54:4510 -> 1
512.71.274.55:4883 -> 1
846.60.461.69:6201 -> 1
681.97.900.59:4818 -> 1
242.77.639.20:5525 -> 1
776.7.400.82:4974 -> 1
798.48.430.84:4648 -> 1
38.84.830.74:5926 -> 1
435.44.154.28:6576 -> 1
640.5.410.18:4240 -> 1
44.1.741.94:6548 -> 1
20.3.130.66:5401 -> 1
738.96.83.71:6471 -> 1
409.15.386.45:6086 -> 1
850.57.336.68:6392 -> 1
900.48.149.54:4414 -> 1
826.47.647.70:6385 -> 1
315.72.422.2:5452 -> 1
864.80.361.18:6002 -> 1
282.13.140.5:6820 -> 1
610.35.712.19:6711 -> 1
397.12.759.16:4955 -> 1
707.54.222.83:5827 -> 1
327.69.530.66:6299 -> 1
594.3.428.86:5838 -> 1
863.46.49.54:4366 -> 1
600.27.537.86:5315 -> 1
677.53.28.85:4834 -> 1
980.65.191.43:4634 -> 1
757.54.908.97:6146 -> 1
541.80.612.23:4705 -> 1
683.83.895.13:6464 -> 1
386.88.394.48:4778 -> 1
704.41.190.81:4908 -> 1
192.75.793.58:6302 -> 1
741.45.249.18:6262 -> 1
765.13.655.22:6202 -> 1
63.52.880.77:4206 -> 1
909.85.742.47:5206 -> 1
557.20.904.68:5337 -> 1
414.96.947.81:6435 -> 1
228.55.908.88:4738 -> 1
956.80.563.40:5623 -> 1
469.69.255.6:5835 -> 1
759.22.533.62:6435 -> 1
700.49.216.83:5893 -> 1
406.50.340.57:4276 -> 1
742.52.826.31:5669 -> 1
84.39.186.18:4673 -> 1
413.71.804.82:5776 -> 1
48.71.58.1:4358 -> 1
689.5.191.31:4041 -> 1
681.72.196.52:5310 -> 1
185.90.704.66:6433 -> 1
483.83.346.32:4201 -> 1
232.4.404.80:4872 -> 1
143.73.416.35:5413 -> 1
265.58.103.43:5471 -> 1
122.70.971.8:6294 -> 1
413.3.239.11:4813 -> 1
644.71.615.1:4756 -> 1
597.7.389.26:4734 -> 1
178.13.216.2:4064 -> 1
424.92.659.72:6534 -> 1
113.68.426.66:4749 -> 1
545.2.257.56:5966 -> 1
595.35.301.2:4661 -> 1
809.49.594.47:6538 -> 1
79.3.73.42:5158 -> 1
293.13.324.2:4531 -> 1
797.58.161.94:4264 -> 1
117.66.704.73:5623 -> 1
670.1.581.21:6957 -> 1
728.25.292.42:4827 -> 1
794.41.290.72:6264 -> 1
808.77.361.5:4352 -> 1
701.8.251.81:5291 -> 1
894.20.636.77:5141 -> 1
Jun 06
755.42.303.37:6852 -> 1
272.96.139.52:6178 -> 1
548.18.414.26:5149 -> 1
837.98.164.42:5577 -> 1
514.91.922.10:5567 -> 1
589.56.749.83:5326 -> 1
912.57.586.16:5677 -> 1
680.72.970.30:4677 -> 1
471.85.452.69:5670 -> 1
627.46.808.83:5463 -> 1
552.31.755.26:6928 -> 1
939.9.966.48:6492 -> 1
591.81.566.4:6015 -> 1
751.19.828.94:6201 -> 1
167.45.859.4:5047 -> 1
752.24.886.90:6472 -> 1
813.68.849.36:5187 -> 1
289.57.688.80:5407 -> 1
437.55.372.37:6491 -> 1
817.98.334.87:6905 -> 1
362.11.963.52:4058 -> 1
87.71.313.25:5393 -> 1
699.91.792.71:4219 -> 1
567.80.12.24:5125 -> 1
445.2.883.45:6027 -> 1
15.14.562.62:6084 -> 1
322.17.842.98:4254 -> 1
360.34.566.60:6698 -> 1
526.49.122.50:5619 -> 1
648.37.615.47:6159 -> 1
792.21.889.20:4132 -> 1
292.43.623.41:5873 -> 1
789.68.855.93:6209 -> 1
875.53.770.45:6965 -> 1
265.3.22.38:5068 -> 1
792.85.659.91:5025 -> 1
180.1.138.42:6780 -> 1
376.98.535.12:4949 -> 1
103.19.170.36:5774 -> 1
378.1.802.7:5360 -> 1
437.12.72.67:5467 -> 1
852.95.482.89:4291 -> 1
574.91.422.98:5357 -> 1
602.65.474.84:6508 -> 1
515.64.620.33:5805 -> 1
206.63.142.14:6072 -> 1
976.60.430.95:4568 -> 1
72.83.864.80:6117 -> 1
894.75.615.49:4493 -> 1
218.17.702.25:6415 -> 1
89.86.163.23:6827 -> 1
939.54.727.26:5245 -> 1
638.13.484.16:6693 -> 1
45.81.76.85:4691 -> 1
579.81.568.71:6983 -> 1
507.89.773.11:5735 -> 1
746.58.376.32:4517 -> 1
242.3.739.75:6459 -> 1
354.49.119.59:6757 -> 1
368.70.566.89:6915 -> 1
151.54.48.33:6216 -> 1
618.76.217.86:4191 -> 1
857.78.507.22:5044 -> 1
624.35.395.36:6047 -> 1
921.66.430.52:5140 -> 1
602.84.76.54:6742 -> 1
734.46.212.22:4495 -> 1
303.25.682.13:5254 -> 1
842.26.693.15:5023 -> 1
429.50.717.41:6166 -> 1
790.59.931.53:4780 -> 1
721.70.479.64:6080 -> 1
698.85.944.20:6546 -> 1
829.12.38.49:6396 -> 1
276.64.938.59:5713 -> 1
426.38.782.10:5216 -> 1
160.55.112.68:6132 -> 1
204.75.889.74:5594 -> 1
764.46.460.96:6204 -> 1
800.82.276.95:5083 -> 1
577.39.542.31:5565 -> 1
127.12.338.21:4066 -> 1
550.39.934.92:4884 -> 1
859.80.393.14:6963 -> 1
752.2.998.41:4214 -> 1
474.13.559.20:4304 -> 1
445.87.208.47:4517 -> 1
103.10.757.48:5148 -> 1
654.18.712.15:4103 -> 1
195.81.294.19:4823 -> 1
129.43.408.91:5328 -> 1
852.37.279.94:5049 -> 1
391.31.59.65:4691 -> 1
278.31.965.4:4616 -> 1
802.73.1.80:5164 -> 1
285.75.632.5:6687 -> 1
899.93.535.8:4235 -> 1
100.50.768.30:5902 -> 1
481.70.245.82:4233 -> 1
682.73.190.79:4342 -> 1
744.67.36.3:4409 -> 1
541.93.473.78:5516 -> 1
678.5.108.8:4409 -> 1
25.29.857.38:6560 -> 1
833.20.598.24:5468 -> 1
797.89.385.56:4995 -> 1
294.56.914.30:6565 -> 1
477.16.908.29:5981 -> 1
72.76.411.36:6910 -> 1
488.43.582.81:5107 -> 1
437.33.956.41:5104 -> 1
501.32.940.14:6499 -> 1
166.36.918.2:4186 -> 1
501.75.211.39:5000 -> 1
117.37.932.22:6690 -> 1
641.30.409.35:6763 -> 1
843.80.282.18:5131 -> 1
188.60.565.60:5652 -> 1
975.4.818.73:6529 -> 1
678.98.584.49:6163 -> 1
323.70.474.64:4170 -> 1
114.49.677.60:6835 -> 1
76.19.554.38:6204 -> 1
Jun 07
3.40.563.76:4804 -> 1
322.17.735.96:4738 -> 1
571.20.8.4:4526 -> 1
57.82.127.63:5636 -> 1
420.11.339.18:6735 -> 1
110.32.20.80:5240 -> 1
389.50.970.59:5556 -> 1
249.51.182.37:6604 -> 1
374.37.69.97:6263 -> 1
660.56.306.72:5243 -> 1
863.96.978.18:6435 -> 1
502.7.581.47:5338 -> 1
870.91.546.89:6769 -> 1
256.7.404.33:4898 -> 1
407.94.54.36:5953 -> 1
743.69.274.82:6683 -> 1
41.81.554.31:5318 -> 1
446.14.321.38:6045 -> 1
958.45.691.84:6688 -> 1
982.90.110.94:6021 -> 1
609.22.190.34:6644 -> 1
20.79.279.61:4523 -> 1
133.43.451.73:5026 -> 1
698.32.791.50:5279 -> 1
807.68.577.60:4579 -> 1
670.3.990.35:6559 -> 1
615.38.115.81:6027 -> 1
727.31.841.93:4213 -> 1
616.28.855.94:5983 -> 1
970.18.455.89:5314 -> 1
36.35.265.73:6101 -> 1
577.61.305.48:6371 -> 1
71.32.984.4:6845 -> 1
123.61.635.29:6414 -> 1
11.16.390.55:6106 -> 1
49.66.554.70:4368 -> 1
898.97.924.11:4678 -> 1
67.25.850.73:4558 -> 1
482.64.6.79:6659 -> 1
39.51.144.97:5628 -> 1
60.5.535.70:6258 -> 1
31.18.631.65:4599 -> 1
163.45.912.35:5990 -> 1
312.38.101.75:5920 -> 1
998.3.672.68:5974 -> 1
725.62.863.18:6980 -> 1
549.24.904.27:5961 -> 1
355.16.630.5:4911 -> 1
310.79.769.95:6581 -> 1
855.41.197.64:5148 -> 1
192.97.872.78:6397 -> 1
523.19.174.20:6032 -> 1
206.40.780.86:6294 -> 1
205.90.265.47:5517 -> 1
70.6.689.93:6420 -> 1
828.54.854.9:6086 -> 1
863.84.740.36:5343 -> 1
636.54.101.97:5789 -> 1
643.3.680.47:4078 -> 1
250.81.574.82:6690 -> 1
602.31.354.86:5615 -> 1
126.67.777.98:5215 -> 1
825.64.850.90:4264 -> 1
42.43.590.17:4694 -> 1
776.51.225.75:5877 -> 1
597.71.36.64:5047 -> 1
592.9.108.35:5574 -> 1
62.60.156.33:5631 -> 1
680.33.144.12:5905 -> 1
429.68.52.21:4417 -> 1
548.13.654.65:6104 -> 1
534.14.971.54:5376 -> 1
306.20.455.86:5409 -> 1
858.76.221.68:4082 -> 1
296.48.760.73:5502 -> 1
452.26.800.88:4735 -> 1
111.94.655.27:4868 -> 1
83.51.467.85:5408 -> 1
649.23.431.42:6922 -> 1
197.95.85.9:6754 -> 1
608.89.883.69:6776 -> 1
682.18.102.83:6596 -> 1
44.6.91.73:4675 -> 1
170.88.193.29:5915 -> 1
428.94.934.68:5930 -> 1
938.17.305.19:4083 -> 1
206.65.306.91:5333 -> 1
996.93.874.3:4884 -> 1
396.12.997.5:5393 -> 1
450.56.362.85:4216 -> 1
155.78.144.38:4486 -> 1
948.37.938.66:6818 -> 1
713.67.405.26:6552 -> 1
102.10.537.66:6580 -> 1
739.95.994.61:4990 -> 1
246.75.184.21:4056 -> 1
176.5.567.59:4933 -> 1
909.39.6.36:6813 -> 1
907.13.827.14:5484 -> 1
737.80.648.44:4211 -> 1
621.46.749.6:4526 -> 1
398.24.596.12:5971 -> 1
790.39.330.89:4484 -> 1
896.72.381.67:4668 -> 1
356.37.197.38:6368 -> 1
975.12.720.19:5689 -> 1
716.82.847.43:4793 -> 1
660.31.162.59:6865 -> 1
26.97.748.32:6115 -> 1
306.58.364.12:4910 -> 1
110.40.204.32:4434 -> 1
344.97.51.33:6245 -> 1
911.72.980.76:6316 -> 1
56.21.894.2:6243 -> 1
85.88.561.52:5534 -> 1
602.84.551.45:6325 -> 1
121.75.281.70:6315 -> 1
483.19.350.29:5270 -> 1
411.37.484.95:6951 -> 1
173.29.710.98:6369 -> 1
136.98.158.57:4246 -> 1
Jun 08
340.93.800.2:4945 -> 1
724.74.914.88:6299 -> 1
740.34.674.60:5400 -> 1
681.76.132.14:6491 -> 1
615.75.836.82:4280 -> 1
686.32.473.77:6167 -> 1
350.62.84.57:5696 -> 1
816.81.258.13:6410 -> 1
304.20.588.56:6870 -> 1
242.6.718.31:5962 -> 1
884.18.475.97:5915 -> 1
238.3.953.14:6295 -> 1
740.86.616.14:5293 -> 1
580.83.495.67:6526 -> 1
836.87.360.18:6698 -> 1
944.97.1.66:6053 -> 1
510.13.208.1:6573 -> 1
769.76.192.35:6768 -> 1
483.87.135.54:4062 -> 1
6.45.678.81:5411 -> 1
293.93.782.80:4379 -> 1
198.37.170.16:6376 -> 1
273.55.147.56:5231 -> 1
705.62.673.53:4716 -> 1
138.29.419.5:6408 -> 1
869.68.980.7:6875 -> 1
485.14.525.54:4061 -> 1
558.86.123.65:6052 -> 1
995.26.489.40:6558 -> 1
24.20.938.1:4307 -> 1
861.75.320.49:5561 -> 1
967.84.960.39:6119 -> 1
665.71.801.25:5602 -> 1
826.75.980.33:4812 -> 1
399.93.69.85:5160 -> 1
75.43.774.38:6252 -> 1
652.73.305.17:5403 -> 1
499.71.584.38:5004 -> 1
895.82.780.3:6589 -> 1
